iter	RMSE
2255	0.1258473983
2256	0.1258435726
2257	0.1258377154
2258	0.1258342823
2259	0.1258300626
2260	0.1258257177
2261	0.1258223062
2262	0.1258162454
2263	0.1258130476
2264	0.1258106194
2265	0.1258058629
2266	0.1258006896
2267	0.1257972177
2268	0.1257897533
2269	0.1257864372
2270	0.125783958
2271	0.1257802513
2272	0.1257778141
2273	0.1257742174
2274	0.1257715433
2275	0.1257688422
2276	0.1257647369
2277	0.1257571857
2278	0.1257524032
2279	0.125750824
2280	0.1257423216
2281	0.1257322144
2282	0.1257294713
2283	0.1257245796
2284	0.1257205598
2285	0.1257190268
2286	0.1257126673
2287	0.1257113811
2288	0.1257041667
2289	0.1256967282
2290	0.125689095
2291	0.1256814734
2292	0.1256769356
2293	0.1256734647
2294	0.1256694108
2295	0.1256638847
2296	0.1256587581
2297	0.1256522336
2298	0.1256463471
2299	0.1256362651
2300	0.125633106
2301	0.1256271858
2302	0.1256219262
2303	0.1256204797
2304	0.1256121154
2305	0.1256083834
2306	0.125605398
2307	0.1255968644
2308	0.125592024
2309	0.1255850783
2310	0.1255774324
2311	0.1255704634
2312	0.1255670553
2313	0.1255607938
2314	0.1255562216
2315	0.1255515895
2316	0.1255444637
2317	0.1255373167
2318	0.1255311846
2319	0.1255272583
2320	0.1255204833
2321	0.1255174217
2322	0.1255121371
2323	0.1255074482
2324	0.125502419
2325	0.1255022544
2326	0.1254930814
2327	0.125486886
2328	0.125483176
2329	0.1254786789
2330	0.1254777218
2331	0.1254733791
2332	0.1254719516
2333	0.1254673591
2334	0.1254625921
2335	0.125451657
2336	0.1254477155
2337	0.1254402654
2338	0.1254359367
2339	0.1254275041
2340	0.1254246671
2341	0.125418911
2342	0.125411729
2343	0.1254079989
2344	0.1254014532
2345	0.1253990109
2346	0.1253953409
2347	0.1253936203
2348	0.1253857489
2349	0.1253820682
2350	0.1253757183
2351	0.1253679032
2352	0.1253669385
2353	0.1253634483
2354	0.1253570182
2355	0.1253567479
2356	0.1253468584
2357	0.125343678
2358	0.1253400112
2359	0.1253330861
2360	0.1253250607
2361	0.1253187403
2362	0.125312743
2363	0.1253032927
2364	0.1252965995
2365	0.1252924233
2366	0.1252872124
2367	0.1252816194
2368	0.1252783774
2369	0.1252752084
2370	0.1252702053
2371	0.1252610602
2372	0.1252539787
2373	0.1252457692
2374	0.125243686
2375	0.1252407124
2376	0.1252359375
2377	0.1252320257
2378	0.1252248798
2379	0.1252173318
2380	0.1252113443
2381	0.1252060994
2382	0.125200552
2383	0.1251958595
2384	0.1251876626
2385	0.1251860723
2386	0.125184135
2387	0.125181573
2388	0.1251737228
2389	0.1251633754
2390	0.1251565389
2391	0.1251497258
2392	0.1251476546
2393	0.1251386192
2394	0.1251312009
2395	0.1251247185
2396	0.1251129632
2397	0.1251033052
2398	0.1250992002
2399	0.125091875
2400	0.1250885126
2401	0.1250808497
2402	0.1250747927
2403	0.1250687147
2404	0.1250651636
2405	0.1250604558
2406	0.1250528101
2407	0.1250447642
2408	0.1250425672
2409	0.1250378042
2410	0.1250322827
2411	0.1250259091
2412	0.1250214981
2413	0.1250105648
2414	0.1249987883
2415	0.124988296
2416	0.124983613
2417	0.1249795359
2418	0.1249738642
2419	0.1249720556
2420	0.1249656617
2421	0.1249569569
2422	0.1249511445
2423	0.1249419692
2424	0.1249348995
2425	0.1249271983
2426	0.124922228
2427	0.1249184069
2428	0.1249132494
2429	0.1249048308
2430	0.1248989551
2431	0.1248950116
2432	0.1248887219
2433	0.1248842568
2434	0.1248833955
2435	0.1248806189
2436	0.1248756459
2437	0.1248677065
2438	0.1248620866
2439	0.1248571606
2440	0.1248516664
2441	0.1248459263
2442	0.1248431536
2443	0.1248424815
2444	0.1248419886
2445	0.1248374087
2446	0.124825027
2447	0.1248157523
2448	0.1248098957
2449	0.1248018405
2450	0.1247959016
2451	0.1247934475
2452	0.1247855929
2453	0.1247768872
2454	0.1247715337
2455	0.1247687127
2456	0.1247619323
2457	0.1247581133
2458	0.1247534744
2459	0.1247475833
2460	0.1247407291
2461	0.1247383934
2462	0.1247337283
2463	0.124729188
2464	0.1247208227
2465	0.124717486
2466	0.1247116812
2467	0.1247077742
2468	0.1247034026
2469	0.1247007847
2470	0.1246900676
2471	0.1246856346
2472	0.1246760098
2473	0.124671907
2474	0.1246643801
2475	0.1246612372
2476	0.1246554998
2477	0.1246514836
2478	0.1246511235
2479	0.1246438521
2480	0.124641629
2481	0.1246311158
2482	0.1246306578
2483	0.1246237924
2484	0.1246200081
2485	0.124613324
2486	0.1246067465
2487	0.124603324
2488	0.1246007863
2489	0.1245937981
2490	0.1245886778
2491	0.1245863731
2492	0.124581289
2493	0.1245712239
2494	0.1245680385
2495	0.1245629532
2496	0.124556916
2497	0.1245527412
2498	0.1245482571
2499	0.124540553
2500	0.1245316002
2501	0.124528349
2502	0.1245239416
2503	0.1245202308
2504	0.1245128489
2505	0.1245091873
2506	0.1245032176
2507	0.1244992604
2508	0.1244986524
2509	0.1244963383
2510	0.1244955106
2511	0.1244924975
2512	0.1244860889
2513	0.124484858
2514	0.1244839896
2515	0.1244796099
2516	0.1244743543
2517	0.1244727303
2518	0.1244619688
2519	0.1244538265
2520	0.1244498675
2521	0.1244461008
2522	0.1244410924
2523	0.1244372186
2524	0.1244328132
2525	0.1244283813
2526	0.1244200644
2527	0.1244172639
2528	0.1244110795
2529	0.124409221
2530	0.1244046607
2531	0.1243963514
2532	0.1243915144
2533	0.1243889743
2534	0.1243837355
2535	0.1243795236
2536	0.1243764594
2537	0.1243739959
2538	0.1243701224
2539	0.1243656959
2540	0.1243554143
2541	0.1243509097
2542	0.12434517
2543	0.1243382403
2544	0.1243321533
2545	0.1243243615
2546	0.1243182644
2547	0.1243130388
2548	0.1243073787
2549	0.1243021784
2550	0.1242977056
2551	0.1242906353
2552	0.1242879802
2553	0.1242843054
2554	0.1242793263
2555	0.124269318
2556	0.1242660222
2557	0.1242603387
2558	0.1242551831
2559	0.1242499387
2560	0.124245683
2561	0.1242371152
2562	0.124232497
2563	0.1242295337
2564	0.1242275705
2565	0.1242218682
2566	0.1242137343
2567	0.1242072424
2568	0.124204302
2569	0.1241967866
2570	0.1241884854
2571	0.1241849861
2572	0.1241729654
2573	0.1241678163
2574	0.1241589497
2575	0.1241520664
2576	0.1241491218
2577	0.1241446862
2578	0.1241412766
2579	0.1241353578
2580	0.1241342413
2581	0.1241284138
2582	0.1241191127
2583	0.1241146985
2584	0.124102689
2585	0.1240977946
2586	0.1240926384
2587	0.1240887454
2588	0.1240833939
2589	0.1240808733
2590	0.1240749807
2591	0.124071278
2592	0.1240653895
2593	0.1240574003
2594	0.1240543711
2595	0.1240489824
2596	0.1240473912
2597	0.1240426671
2598	0.1240366906
2599	0.1240317055
2600	0.1240293389
2601	0.1240227472
2602	0.1240186814
2603	0.1240132705
2604	0.1240078553
2605	0.1240035448
2606	0.1240016689
2607	0.1239933095
2608	0.1239848627
2609	0.1239824931
2610	0.1239792643
2611	0.1239737523
2612	0.1239721494
2613	0.1239676627
2614	0.1239635931
2615	0.1239564976
2616	0.1239502007
2617	0.123945097
2618	0.1239432758
2619	0.1239372843
2620	0.1239349953
2621	0.1239307715
2622	0.1239256213
2623	0.1239193387
2624	0.1239145172
2625	0.1239080572
2626	0.1239020885
2627	0.123896775
2628	0.1238913173
2629	0.1238888562
2630	0.1238825089
2631	0.1238745594
2632	0.1238690128
2633	0.1238643551
2634	0.1238630906
2635	0.1238576941
2636	0.1238511739
2637	0.1238460373
2638	0.1238415052
2639	0.1238370683
2640	0.1238330574
2641	0.1238276679
2642	0.1238234094
2643	0.1238191989
2644	0.1238127548
2645	0.123804788
2646	0.1238007866
2647	0.123793285
2648	0.1237894721
2649	0.123783093
2650	0.123774002
2651	0.1237695712
2652	0.1237649582
2653	0.1237615907
2654	0.1237583053
2655	0.1237534157
2656	0.1237467568
2657	0.1237438754
2658	0.1237389304
2659	0.1237381961
2660	0.1237319511
2661	0.1237289835
2662	0.1237239961
2663	0.123718462
2664	0.1237150682
2665	0.1237070159
2666	0.1237046121
2667	0.1237013629
2668	0.1236976309
2669	0.1236926959
2670	0.1236852798
2671	0.1236752436
2672	0.1236646611
2673	0.1236579906
2674	0.1236497082
2675	0.1236440947
2676	0.1236372936
2677	0.1236275157
2678	0.1236235871
2679	0.1236178561
2680	0.1236110382
2681	0.1236079026
2682	0.1236053627
2683	0.1236023123
2684	0.123599931
2685	0.1235960416
2686	0.1235933479
2687	0.1235915335
2688	0.1235880293
2689	0.1235834924
2690	0.1235749212
2691	0.123569613
2692	0.1235655017
2693	0.1235612043
2694	0.1235549938
2695	0.1235511452
2696	0.1235464815
2697	0.1235430889
2698	0.1235361232
2699	0.1235321946
2700	0.1235271927
2701	0.1235245985
2702	0.1235231687
2703	0.123519732
2704	0.1235170236
2705	0.123508498
2706	0.1235078881
2707	0.1235038566
2708	0.1235001077
2709	0.1234926035
2710	0.1234873795
2711	0.1234836272
2712	0.123477084
2713	0.1234761737
2714	0.1234706432
2715	0.1234611181
2716	0.1234550736
2717	0.1234491051
2718	0.1234453479
2719	0.1234364063
2720	0.1234295731
2721	0.1234198336
2722	0.1234167834
2723	0.1234116792
2724	0.1234098462
2725	0.1234023321
2726	0.1233955194
2727	0.1233874324
2728	0.1233802493
2729	0.1233775762
2730	0.1233725588
2731	0.123361512
2732	0.1233573497
2733	0.123348387
2734	0.1233455577
2735	0.1233420221
2736	0.1233343654
2737	0.1233316687
2738	0.1233307065
2739	0.1233198274
2740	0.1233150084
2741	0.1233065024
2742	0.1233048189
2743	0.1233019848
2744	0.1232978876
2745	0.123292927
2746	0.1232893996
2747	0.1232869131
2748	0.1232773237
2749	0.1232707916
2750	0.1232693865
2751	0.1232634304
2752	0.1232599105
2753	0.1232541927
2754	0.123253147
2755	0.1232449104
2756	0.123243361
2757	0.1232383017
2758	0.1232331786
2759	0.1232236176
2760	0.1232202641
2761	0.1232147956
2762	0.1232043939
2763	0.1231945023
2764	0.1231892553
2765	0.1231805904
2766	0.1231773934
2767	0.1231700926
2768	0.1231673786
2769	0.1231611321
2770	0.1231597786
2771	0.1231546443
2772	0.1231466139
2773	0.1231409987
2774	0.1231359073
2775	0.1231334768
2776	0.1231331009
2777	0.1231288192
2778	0.1231263102
2779	0.123122653
2780	0.1231168856
2781	0.1231121543
2782	0.1231112436
2783	0.1231050463
2784	0.1230991103
2785	0.1230936503
2786	0.1230920342
2787	0.1230879751
2788	0.123083641
2789	0.1230766183
2790	0.1230749468
2791	0.1230730304
2792	0.1230684381
2793	0.1230630628
2794	0.1230611455
2795	0.1230574897
2796	0.1230546028
2797	0.123049721
2798	0.1230455354
2799	0.123040259
2800	0.123037484
2801	0.123034773
2802	0.1230272456
2803	0.1230232444
2804	0.1230115034
2805	0.1230050563
2806	0.1230043934
2807	0.1229996985
2808	0.1229978274
2809	0.1229936088
2810	0.122987868
2811	0.1229812571
2812	0.1229791891
2813	0.1229738983
2814	0.1229686461
2815	0.1229610742
2816	0.1229567877
2817	0.1229533053
2818	0.1229490997
2819	0.1229428057
2820	0.1229394657
2821	0.1229324945
2822	0.1229290492
2823	0.1229239582
2824	0.1229217359
2825	0.1229166549
2826	0.1229123194
2827	0.1229069552
2828	0.1229004352
2829	0.1228977836
2830	0.1228933743
2831	0.1228874218
2832	0.1228848653
2833	0.122878956
2834	0.1228730062
2835	0.1228686505
2836	0.1228676574
2837	0.122862256
2838	0.1228569932
2839	0.1228545117
2840	0.1228491918
2841	0.1228375042
2842	0.1228346363
2843	0.1228283547
